Datetime,^GSPC
2024-11-01 16:37:00+00:00,5756.330078125
2024-11-01 16:38:00+00:00,5757.4599609375
2024-11-01 16:39:00+00:00,5758.60986328125
2024-11-01 16:40:00+00:00,5756.72998046875
2024-11-01 16:41:00+00:00,5756.06005859375
2024-11-01 16:42:00+00:00,5753.2900390625
2024-11-01 16:43:00+00:00,5747.43017578125
2024-11-01 16:44:00+00:00,5747.75
2024-11-01 16:45:00+00:00,5748.58984375
2024-11-01 16:46:00+00:00,5749.7099609375
2024-11-01 16:47:00+00:00,5748.6201171875
2024-11-01 16:48:00+00:00,5750.330078125
2024-11-01 16:49:00+00:00,5749.240234375
2024-11-01 16:50:00+00:00,5748.7900390625
2024-11-01 16:51:00+00:00,5749.919921875
2024-11-01 16:52:00+00:00,5749.75
2024-11-01 16:53:00+00:00,5749.2001953125
2024-11-01 16:54:00+00:00,5748.509765625
2024-11-01 16:55:00+00:00,5749.10986328125
2024-11-01 16:56:00+00:00,5747.52001953125
2024-11-01 16:57:00+00:00,5745.4599609375
2024-11-01 16:58:00+00:00,5745.490234375
2024-11-01 16:59:00+00:00,5747.18017578125
2024-11-01 17:00:00+00:00,5748.490234375
2024-11-01 17:01:00+00:00,5746.25
2024-11-01 17:02:00+00:00,5747.33984375
2024-11-01 17:03:00+00:00,5746.93017578125
2024-11-01 17:04:00+00:00,5746.68017578125
2024-11-01 17:05:00+00:00,5746.68017578125
2024-11-01 17:06:00+00:00,5745.39013671875
2024-11-01 17:07:00+00:00,5744.9599609375
2024-11-01 17:08:00+00:00,5740.2099609375
2024-11-01 17:09:00+00:00,5741.5400390625
2024-11-01 17:10:00+00:00,5740.740234375
2024-11-01 17:11:00+00:00,5742.56005859375
2024-11-01 17:12:00+00:00,5745.330078125
2024-11-01 17:13:00+00:00,5746.9501953125
2024-11-01 17:14:00+00:00,5747.52001953125
2024-11-01 17:15:00+00:00,5748.919921875
2024-11-01 17:16:00+00:00,5750.18994140625
2024-11-01 17:17:00+00:00,5749.72998046875
2024-11-01 17:18:00+00:00,5749.330078125
2024-11-01 17:19:00+00:00,5750.18017578125
2024-11-01 17:20:00+00:00,5751.18994140625
2024-11-01 17:21:00+00:00,5751.2900390625
2024-11-01 17:22:00+00:00,5751.58984375
2024-11-01 17:23:00+00:00,5754.85986328125
2024-11-01 17:24:00+00:00,5754.22998046875
2024-11-01 17:25:00+00:00,5752.85009765625
2024-11-01 17:26:00+00:00,5753.419921875
2024-11-01 17:27:00+00:00,5754.08984375
2024-11-01 17:28:00+00:00,5755.0
2024-11-01 17:29:00+00:00,5754.4501953125
2024-11-01 17:30:00+00:00,5752.2900390625
2024-11-01 17:31:00+00:00,5747.7998046875
2024-11-01 17:32:00+00:00,5745.22998046875
2024-11-01 17:33:00+00:00,5742.72021484375
2024-11-01 17:34:00+00:00,5741.0
2024-11-01 17:35:00+00:00,5739.7099609375
2024-11-01 17:36:00+00:00,5737.06982421875
2024-11-01 17:37:00+00:00,5736.93017578125
2024-11-01 17:38:00+00:00,5739.77978515625
2024-11-01 17:39:00+00:00,5737.56982421875
2024-11-01 17:40:00+00:00,5737.080078125
2024-11-01 17:41:00+00:00,5737.22021484375
2024-11-01 17:42:00+00:00,5736.47998046875
2024-11-01 17:43:00+00:00,5735.47998046875
2024-11-01 17:44:00+00:00,5735.06982421875
2024-11-01 17:45:00+00:00,5735.91015625
2024-11-01 17:46:00+00:00,5735.7998046875
2024-11-01 17:47:00+00:00,5735.91015625
2024-11-01 17:48:00+00:00,5735.7900390625
2024-11-01 17:49:00+00:00,5736.18994140625
2024-11-01 17:50:00+00:00,5739.43994140625
2024-11-01 17:51:00+00:00,5739.27001953125
2024-11-01 17:52:00+00:00,5740.43994140625
2024-11-01 17:53:00+00:00,5740.6201171875
2024-11-01 17:54:00+00:00,5741.419921875
2024-11-01 17:55:00+00:00,5738.58984375
2024-11-01 17:56:00+00:00,5737.58984375
2024-11-01 17:57:00+00:00,5736.330078125
2024-11-01 17:58:00+00:00,5734.85986328125
